Year,Round,RaceName,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed,had_rain,rain_pct
2023,1,Bahrain Grand Prix,27.43167701863354,31.01180124223602,21.496894409937887,0.6832298136645961,False,0.0
2023,2,Saudi Arabian Grand Prix,26.09189189189189,31.79256756756757,57.79054054054054,1.772297297297297,False,0.0
2023,3,Australian Grand Prix,17.449549549549552,30.13963963963964,54.15765765765766,1.1270270270270266,False,0.0
2023,4,Azerbaijan Grand Prix,24.860625,41.209999999999994,49.225,1.083125,False,0.0
2023,5,Miami Grand Prix,27.11741935483871,36.689032258064515,59.42580645161291,3.970322580645162,False,0.0
2023,6,Monaco Grand Prix,25.06590909090909,39.25568181818182,45.86363636363637,1.0056818181818181,True,14.772727272727273
2023,7,Spanish Grand Prix,22.674025974025977,33.838961038961045,63.077922077922075,1.8694805194805193,False,0.0
2023,8,Canadian Grand Prix,18.530246913580246,30.593209876543206,63.901234567901234,1.941975308641975,False,0.0
2023,9,Austrian Grand Prix,22.398039215686275,32.05424836601307,52.04575163398693,1.0973856209150326,True,1.9607843137254901
2023,10,British Grand Prix,21.473509933774835,30.94105960264901,56.18543046357616,3.023841059602649,False,0.0
2023,11,Hungarian Grand Prix,28.808536585365857,48.579268292682926,32.80487804878049,1.4408536585365852,False,0.0
2023,12,Belgian Grand Prix,17.873333333333335,28.24066666666667,61.92666666666667,1.5946666666666667,True,7.333333333333333
2023,13,Dutch Grand Prix,16.791866028708135,24.94114832535885,70.77511961722487,2.8215311004784693,True,22.966507177033492
2023,14,Italian Grand Prix,29.330128205128204,42.928205128205136,42.32051282051282,1.13974358974359,False,0.0
2023,15,Singapore Grand Prix,29.844318181818185,36.42215909090909,72.0284090909091,1.4159090909090908,False,0.0
2023,16,Japanese Grand Prix,27.28860759493671,42.070253164556966,42.31645569620253,1.8297468354430382,False,0.0
2023,17,Qatar Grand Prix,31.46289308176101,36.93207547169812,73.15723270440252,0.889937106918239,False,0.0
2023,18,United States Grand Prix,29.96011904761904,40.62857142857143,41.910714285714285,3.314285714285714,False,0.0
2023,19,Mexico City Grand Prix,25.547368421052628,45.63947368421053,23.55263157894737,1.4900000000000002,False,0.0
2023,20,São Paulo Grand Prix,20.460109289617485,46.775956284153004,58.17486338797814,1.3092896174863389,True,0.546448087431694
2023,21,Las Vegas Grand Prix,18.05,17.99444444444444,47.361111111111114,2.3009259259259256,False,0.0
2023,22,Abu Dhabi Grand Prix,26.962820512820517,33.46089743589744,51.0,1.794871794871795,False,0.0
2024,1,Bahrain Grand Prix,18.22738853503185,23.652866242038222,48.82165605095541,0.7859872611464969,False,0.0
2024,2,Saudi Arabian Grand Prix,25.528082191780825,31.59315068493151,62.33561643835616,1.3027397260273974,False,0.0
2024,3,Australian Grand Prix,20.62222222222222,38.40208333333333,44.451388888888886,0.9534722222222223,False,0.0
2024,4,Japanese Grand Prix,21.691160220994476,37.50110497237569,43.430939226519335,2.2408839779005527,False,0.0
2024,5,Chinese Grand Prix,18.63939393939394,29.792727272727273,66.06060606060606,1.68,False,0.0
2024,6,Miami Grand Prix,28.521999999999995,44.664,59.00666666666667,3.080666666666666,False,0.0
2024,7,Emilia Romagna Grand Prix,25.113986013986015,42.023776223776224,48.42657342657343,2.141258741258741,False,0.0
2024,8,Monaco Grand Prix,21.596499999999995,46.318000000000005,63.99,0.9795,False,0.0
2024,9,Canadian Grand Prix,17.797345132743363,24.569911504424784,73.38053097345133,1.169911504424779,True,27.43362831858407
